RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DRVAL1,DRVAL2,NOBJNM,OBJNAM,QUASOU,RESTRN,SOUACC,TECSOU,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1596,3,1,46,1,550,175490516,1080,02260A75C5D40438,,,13.41,,,"Freeport Harbor Channel, Thence to Brazos Port Turning Basin, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1597,3,1,46,1,550,175490625,1080,02260A75C6410438,,,13.41,,,"Freeport Harbor Channel, Brazos Port Turning Basin, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1598,3,1,46,1,550,235420283,1128,02260E083A7B0468,,,5.18,,,"Freeport Harbor Channel, Channel to Stauffer Turning Basin, LOQ",11,,,,,,,,,,,,,19881100,"US,US,graph,chart 11322"
1599,3,1,46,1,550,235421458,1128,02260E083F120468,,,5.79,,,"Freeport Harbor Channel, Channel to Stauffer Turning Basin, Middle Half",11,,,,,,,,,,,,,19881100,"US,US,graph,chart 11322"
1600,3,1,46,1,550,235422025,1128,02260E0841490468,,,5.33,,,"Freeport Harbor Channel, Channel to Stauffer Turning Basin, ROQ",11,,,,,,,,,,,,,19881100,"US,US,graph,chart 11322"
1601,3,1,46,1,550,235465766,1128,02260E08EC260468,,,4.87,,,"Freeport Harbor Channel, Stauffer Turning Basin, ROQ",11,,,,,,,,,,,,,19881100,"US,US,graph,chart 11322"
1602,3,1,46,1,550,236078715,1132,02260E12467B046C,,,3.65,,,Intracoastal Waterway,11,,,,,,,,,,USECX51E.TXT,,,19990529,"US,US,graph,chart 11322"
1603,3,1,46,1,550,114682855,1268,022606D5EBE704F4,,,10.36,,,"Freeport Harbor Channel, Lower Turning Basin, ROQ",10,,,,,Depth begins approximately 20 feet inside of the channel toe.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1604,3,1,46,1,550,114682848,1268,022606D5EBE004F4,,,10.36,,,"Freeport Harbor Channel, Lower Turning Basin, ROQ",10,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1605,3,1,46,1,550,115231274,1268,022606DE4A2A04F4,,,12.8,,,"Freeport Harbor Channel, Thence to Brazos Port Turning Basin, LOQ",10,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1606,3,1,46,1,550,115231267,1268,022606DE4A2304F4,,,12.8,,,"Freeport Harbor Channel, Thence to Brazos Port Turning Basin, LOQ",10,,,,,Depth begins approximately 20 feet inside of the channel toe.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1607,3,1,46,1,550,115232363,1268,022606DE4E6B04F4,,,12.19,,,"Freeport Harbor Channel, Thence to Brazos Port Turning Basin, ROQ",10,,,,,Depth begins approximately 20 feet inside of the channel toe.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1608,3,1,46,1,550,115232355,1268,022606DE4E6304F4,,,12.19,,,"Freeport Harbor Channel, Thence to Brazos Port Turning Basin, ROQ",10,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,,,,,20010200,"US,US,reprt,L-570/01"
